destination,type,price,description
Goa,beach,12000,"3 Nights stay with water sports and breakfast"
Kerala,honeymoon,25000,"5 Nights houseboat + Munnar + Alleppey package"
Manali,adventure,18000,"Paragliding, trekking, rafting included"
Bali,honeymoon,45000,"4 Nights villa stay with private pool"
Andaman,beach,30000,"4 Nights Havelock + Neil Island trip"
Rishikesh,adventure,8000,"Camping + rafting package for 2 nights"
Jaipur,weekend,6000,"2 Nights heritage tour"
Thailand,budget,28000,"Bangkok + Pattaya 4N/5D package"
Dubai,luxury,55000,"5 Nights premium city tour + desert safari"
Sri Lanka,family,32000,"4 Nights family-friendly tour"
Ladakh,adventure,35000,"5 Days bike trip with camping"
Maldives,honeymoon,65000,"Water villa stay with private beach"
Shimla,family,15000,"3 Nights stay with sightseeing"
Singapore,international,48000,"4 Nights city + Sentosa tour"
Vietnam,budget,26000,"Hanoi + Ha Long Bay cruise"
Kashmir,family,28000,"Gulmarg + Pahalgam + Srinagar package"
Ooty,relaxation,14000,"3 Nights hill station retreat"
Meghalaya,nature,22000,"Cherrapunji + Dawki lake tour"
Nepal,adventure,19000,"Pokhara + Kathmandu trekking tour"
Turkey,international,72000,"Istanbul + Cappadocia 6N/7D package"
